2026-02-03 13:03:52,736 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:36,968 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:37,232 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:37,394 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:37,583 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:37,768 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:37,958 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:38,145 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:38,336 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:38,500 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
2026-02-03 13:05:38,686 - CMV_GATEWAY - WARNING - [{'type': 'missing', 'loc': ('body', 'prompt'), 'msg': 'Field required', 'input': {'user_id': '6925973462adfc4bc700bfaf', 'max_tokens': 100}}] FROM: None
